Time_ms,Lead_I,Lead_II,Lead_III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
312.00,0.701176,0.934901,0.327215,-0.514195,0.233725,0.654431,-0.206980,0.317215,0.607686,0.851411,0.804666,0.654431
320.00,0.301036,0.401382,0.140484,-0.220760,0.100345,0.280967,-0.100276,0.130484,0.260898,0.371244,0.351175,0.280967
328.00,-0.066804,-0.089072,-0.031175,0.048990,-0.022268,-0.062350,-0.002186,-0.041175,-0.057897,-0.070165,-0.065711,-0.062350
336.00,-0.183151,-0.244201,-0.085470,0.134311,-0.061050,-0.170941,0.028840,-0.095470,-0.158731,-0.209781,-0.197571,-0.170941
344.00,-0.125833,-0.167777,-0.058722,0.092277,-0.041944,-0.117444,0.013555,-0.068722,-0.109055,-0.140999,-0.132611,-0.117444
352.00,-0.042704,-0.056938,-0.019928,0.031316,-0.014235,-0.039857,-0.008612,-0.029928,-0.037010,-0.041245,-0.038398,-0.039857
360.00,-0.004303,-0.005737,-0.002008,0.003155,-0.001434,-0.004016,-0.018853,-0.012008,-0.003729,0.004837,0.005124,-0.004016
368.00,0.011083,0.014778,0.005172,-0.008128,0.003694,0.010344,-0.022956,-0.004828,0.009606,0.023300,0.022561,0.010344
376.00,0.024162,0.032217,0.011276,-0.017719,0.008054,0.022552,-0.026443,0.001276,0.020941,0.038995,0.037384,0.022552
384.00,0.027371,0.036495,0.012773,-0.020072,0.009124,0.025547,-0.027299,0.002773,0.023722,0.042846,0.041021,0.025547
392.00,0.027834,0.037112,0.012989,-0.020412,0.009278,0.025978,-0.027422,0.002989,0.024123,0.043401,0.041545,0.025978
400.00,0.040416,0.053887,0.018861,-0.029638,0.013472,0.037721,-0.030777,0.008861,0.035027,0.058499,0.055804,0.037721
408.00,0.054823,0.073097,0.025584,-0.040204,0.018274,0.051168,-0.034619,0.015584,0.047513,0.075788,0.072133,0.051168
416.00,0.060692,0.080922,0.028323,-0.044507,0.020231,0.056646,-0.036184,0.018323,0.052599,0.082830,0.078784,0.056646
424.00,0.072498,0.096663,0.033832,-0.053165,0.024166,0.067664,-0.039333,0.023832,0.062831,0.096997,0.092164,0.067664
432.00,0.095261,0.127014,0.044455,-0.069858,0.031754,0.088910,-0.045403,0.034455,0.082559,0.124313,0.117962,0.088910
440.00,0.112437,0.149916,0.052470,-0.082454,0.037479,0.104941,-0.049983,0.042470,0.097445,0.144924,0.137428,0.104941
448.00,0.124701,0.166268,0.058194,-0.091448,0.041567,0.116388,-0.053254,0.048194,0.108074,0.159642,0.151328,0.116388
456.00,0.147493,0.196657,0.068830,-0.108161,0.049164,0.137660,-0.059331,0.058830,0.127827,0.186991,0.177158,0.137660
464.00,0.173145,0.230860,0.080801,-0.126973,0.057715,0.161602,-0.066172,0.070801,0.150059,0.217774,0.206231,0.161602
472.00,0.187570,0.250093,0.087533,-0.137551,0.062523,0.175065,-0.070019,0.077533,0.162561,0.235084,0.222579,0.175065
480.00,0.201939,0.269252,0.094238,-0.148088,0.067313,0.188476,-0.073850,0.084238,0.175014,0.252327,0.238864,0.188476
488.00,0.224233,0.298978,0.104642,-0.164438,0.074744,0.209284,-0.079796,0.094642,0.194336,0.279080,0.264131,0.209284
496.00,0.238354,0.317805,0.111232,-0.174793,0.079451,0.222464,-0.083561,0.101232,0.206573,0.296025,0.280134,0.222464
504.00,0.240546,0.320729,0.112255,-0.176401,0.080182,0.224510,-0.084146,0.102255,0.208474,0.298656,0.282619,0.224510
512.00,0.246790,0.329053,0.115168,-0.180979,0.082263,0.230337,-0.085811,0.105168,0.213884,0.306147,0.289695,0.230337
520.00,0.253729,0.338306,0.118407,-0.186068,0.084576,0.236814,-0.087661,0.108407,0.219899,0.314475,0.297560,0.236814
528.00,0.246033,0.328044,0.114816,-0.180424,0.082011,0.229631,-0.085609,0.104816,0.213229,0.305240,0.288838,0.229631
536.00,0.232753,0.310338,0.108618,-0.170686,0.077584,0.217236,-0.082068,0.098618,0.201719,0.289304,0.273787,0.217236
544.00,0.226349,0.301799,0.105630,-0.165989,0.075450,0.211259,-0.080360,0.095630,0.196169,0.281619,0.266529,0.211259
552.00,0.214140,0.285520,0.099932,-0.157036,0.071380,0.199864,-0.077104,0.089932,0.185588,0.266968,0.252692,0.199864
560.00,0.189887,0.253182,0.088614,-0.139250,0.063296,0.177228,-0.070636,0.078614,0.164569,0.237864,0.225205,0.177228
568.00,0.170378,0.227171,0.079510,-0.124944,0.056793,0.159020,-0.065434,0.069510,0.147661,0.214454,0.203095,0.159020
576.00,0.157487,0.209982,0.073494,-0.115490,0.052496,0.146987,-0.061996,0.063494,0.136488,0.198984,0.188485,0.146987
584.00,0.135655,0.180873,0.063305,-0.099480,0.045218,0.126611,-0.056175,0.053305,0.117567,0.172785,0.163742,0.126611
592.00,0.110646,0.147528,0.051635,-0.081140,0.036882,0.103270,-0.049506,0.041635,0.095893,0.142775,0.135399,0.103270
600.00,0.097429,0.129906,0.045467,-0.071448,0.032476,0.090934,-0.045981,0.035467,0.084439,0.126915,0.120420,0.090934
608.00,0.085891,0.114522,0.040083,-0.062987,0.028630,0.080165,-0.042904,0.030083,0.074439,0.113069,0.107343,0.080165
616.00,0.065766,0.087688,0.030691,-0.048228,0.021922,0.061381,-0.037538,0.020691,0.056997,0.088919,0.084535,0.061381
624.00,0.051574,0.068766,0.024068,-0.037821,0.017191,0.048136,-0.033753,0.014068,0.044698,0.071889,0.068451,0.048136
632.00,0.048378,0.064504,0.022576,-0.035477,0.016126,0.045153,-0.032901,0.012576,0.041928,0.068054,0.064828,0.045153
640.00,0.039719,0.052959,0.018536,-0.029127,0.013240,0.037071,-0.030592,0.008536,0.034423,0.057663,0.055015,0.037071
648.00,0.026450,0.035266,0.012343,-0.019396,0.008817,0.024686,-0.027053,0.002343,0.022923,0.041740,0.039976,0.024686
656.00,0.024304,0.032405,0.011342,-0.017823,0.008101,0.022683,-0.026481,0.001342,0.021063,0.039164,0.037544,0.022683
664.00,0.026039,0.034719,0.012152,-0.019095,0.008680,0.024303,-0.026944,0.002152,0.022567,0.041247,0.039511,0.024303
672.00,0.018109,0.024146,0.008451,-0.013280,0.006036,0.016902,-0.024829,-0.001549,0.015695,0.031731,0.030524,0.016902
680.00,0.012312,0.016416,0.005746,-0.009029,0.004104,0.011491,-0.023283,-0.004254,0.010671,0.024775,0.023954,0.011491
688.00,0.017292,0.023056,0.008070,-0.012681,0.005764,0.016139,-0.024611,-0.001930,0.014986,0.030750,0.029598,0.016139
696.00,0.017585,0.023446,0.008206,-0.012896,0.005862,0.016412,-0.024689,-0.001794,0.015240,0.031102,0.029929,0.016412
704.00,0.009982,0.013310,0.004658,-0.007320,0.003327,0.009317,-0.022662,-0.005342,0.008651,0.021979,0.021313,0.009317
712.00,0.010856,0.014474,0.005066,-0.007961,0.003619,0.010132,-0.022895,-0.004934,0.009408,0.023027,0.022303,0.010132
720.00,0.017047,0.022729,0.007955,-0.012501,0.005682,0.015910,-0.024546,-0.002045,0.014774,0.030456,0.029320,0.015910
728.00,0.013189,0.017586,0.006155,-0.009672,0.004396,0.012310,-0.023517,-0.003845,0.011431,0.025827,0.024948,0.012310
736.00,0.008069,0.010759,0.003766,-0.005917,0.002690,0.007531,-0.022152,-0.006234,0.006993,0.019683,0.019145,0.007531
744.00,0.013663,0.018217,0.006376,-0.010020,0.004554,0.012752,-0.023643,-0.003624,0.011841,0.026396,0.025485,0.012752
752.00,0.016630,0.022174,0.007761,-0.012196,0.005543,0.015522,-0.024435,-0.002239,0.014413,0.029956,0.028848,0.015522
760.00,0.009947,0.013263,0.004642,-0.007294,0.003316,0.009284,-0.022653,-0.005358,0.008621,0.021936,0.021273,0.009284
768.00,0.009555,0.012740,0.004459,-0.007007,0.003185,0.008918,-0.022548,-0.005541,0.008281,0.021466,0.020829,0.008918
776.00,0.016485,0.021980,0.007693,-0.012089,0.005495,0.015386,-0.024396,-0.002307,0.014287,0.029782,0.028683,0.015386
784.00,0.014394,0.019191,0.006717,-0.010555,0.004798,0.013434,-0.023838,-0.003283,0.012474,0.027272,0.026313,0.013434
792.00,0.008369,0.011159,0.003906,-0.006137,0.002790,0.007811,-0.022232,-0.006094,0.007253,0.020043,0.019485,0.007811
800.00,0.012841,0.017121,0.005993,-0.009417,0.004280,0.011985,-0.023424,-0.004007,0.011129,0.025409,0.024553,0.011985
808.00,0.017312,0.023083,0.008079,-0.012695,0.005771,0.016158,-0.024617,-0.001921,0.015004,0.030774,0.029620,0.016158
816.00,0.011284,0.015045,0.005266,-0.008275,0.003761,0.010532,-0.023009,-0.004734,0.009779,0.023541,0.022788,0.010532
824.00,0.009188,0.012251,0.004288,-0.006738,0.003063,0.008576,-0.022450,-0.005712,0.007963,0.021026,0.020413,0.008576
832.00,0.016113,0.021484,0.007520,-0.011816,0.005371,0.015039,-0.024297,-0.002480,0.013965,0.029336,0.028262,0.015039
840.00,0.015721,0.020962,0.007337,-0.011529,0.005240,0.014673,-0.024192,-0.002663,0.013625,0.028865,0.027817,0.014673
848.00,0.009046,0.012062,0.004222,-0.006634,0.003015,0.008443,-0.022412,-0.005778,0.007840,0.020856,0.020253,0.008443
856.00,0.012042,0.016056,0.005620,-0.008831,0.004014,0.011239,-0.023211,-0.004380,0.010436,0.024450,0.023648,0.011239
864.00,0.017704,0.023605,0.008262,-0.012983,0.005901,0.016524,-0.024721,-0.001738,0.015343,0.031245,0.030064,0.016524
872.00,0.012733,0.016978,0.005942,-0.009338,0.004244,0.011884,-0.023396,-0.004058,0.011036,0.025280,0.024431,0.011884
880.00,0.009202,0.012270,0.004294,-0.006748,0.003067,0.008589,-0.022454,-0.005706,0.007975,0.021043,0.020429,0.008589
888.00,0.016097,0.021462,0.007512,-0.011804,0.005366,0.015023,-0.024292,-0.002488,0.013950,0.029316,0.028243,0.015023
896.00,0.018444,0.024592,0.008607,-0.013526,0.006148,0.017215,-0.024918,-0.001393,0.015985,0.032133,0.030903,0.017215
904.00,0.013768,0.018358,0.006425,-0.010097,0.004589,0.012850,-0.023672,-0.003575,0.011933,0.026522,0.025604,0.012850
912.00,0.019444,0.025925,0.009074,-0.014259,0.006481,0.018148,-0.025185,-0.000926,0.016851,0.033333,0.032036,0.018148
920.00,0.033435,0.044580,0.015603,-0.024519,0.011145,0.031206,-0.028916,0.005603,0.028977,0.050122,0.047893,0.031206
928.00,0.041191,0.054922,0.019223,-0.030207,0.013730,0.038445,-0.030984,0.009223,0.035699,0.059430,0.056684,0.038445
936.00,0.051354,0.068472,0.023965,-0.037659,0.017118,0.047930,-0.033694,0.013965,0.044507,0.071624,0.068201,0.047930
944.00,0.074234,0.098979,0.034643,-0.054439,0.024745,0.069285,-0.039796,0.024643,0.064336,0.099081,0.094132,0.069285
952.00,0.093305,0.124406,0.043542,-0.068423,0.031102,0.087084,-0.044881,0.033542,0.080864,0.121966,0.115745,0.087084
960.00,0.097685,0.130246,0.045586,-0.071635,0.032562,0.091172,-0.046049,0.035586,0.084660,0.127221,0.120709,0.091172
968.00,0.100275,0.133699,0.046795,-0.073535,0.033425,0.093590,-0.046740,0.036795,0.086905,0.130329,0.123645,0.093590
976.00,0.101231,0.134975,0.047241,-0.074236,0.033744,0.094483,-0.046995,0.037241,0.087734,0.131478,0.124729,0.094483
984.00,0.085924,0.114565,0.040098,-0.063011,0.028641,0.080195,-0.042913,0.030098,0.074467,0.113108,0.107380,0.080195
992.00,0.062939,0.083918,0.029371,-0.046155,0.020980,0.058743,-0.036784,0.019371,0.054547,0.085526,0.081330,0.058743
1000.00,0.050500,0.067333,0.023567,-0.037033,0.016833,0.047133,-0.033467,0.013567,0.043767,0.070600,0.067233,0.047133
1008.00,0.040863,0.054484,0.019069,-0.029966,0.013621,0.038139,-0.030897,0.009069,0.035415,0.059036,0.056312,0.038139
1016.00,0.024682,0.032909,0.011518,-0.018100,0.008227,0.023037,-0.026582,0.001518,0.021391,0.039618,0.037973,0.023037
1024.00,0.016180,0.021573,0.007551,-0.011865,0.005393,0.015101,-0.024315,-0.002449,0.014023,0.029416,0.028337,0.015101
1032.00,0.019523,0.026031,0.009111,-0.014317,0.006508,0.018222,-0.025206,-0.000889,0.016920,0.033428,0.032126,0.018222
1040.00,0.017337,0.023116,0.008091,-0.012714,0.005779,0.016181,-0.024623,-0.001909,0.015025,0.030804,0.029649,0.016181
1048.00,0.009843,0.013124,0.004593,-0.007218,0.003281,0.009187,-0.022625,-0.005407,0.008531,0.021812,0.021156,0.009187
1056.00,0.012481,0.016642,0.005825,-0.009153,0.004160,0.011649,-0.023328,-0.004175,0.010817,0.024978,0.024146,0.011649
1064.00,0.017970,0.023961,0.008386,-0.013178,0.005990,0.016772,-0.024792,-0.001614,0.015574,0.031564,0.030366,0.016772
1072.00,0.012865,0.017153,0.006004,-0.009434,0.004288,0.012007,-0.023431,-0.003996,0.011150,0.025438,0.024580,0.012007
1080.00,0.009114,0.012152,0.004253,-0.006683,0.003038,0.008506,-0.022430,-0.005747,0.007899,0.020937,0.020329,0.008506
1088.00,0.015187,0.020249,0.007087,-0.011137,0.005062,0.014174,-0.024050,-0.002913,0.013162,0.028224,0.027211,0.014174
1096.00,0.010622,0.014162,0.004957,-0.007789,0.003541,0.009913,-0.022832,-0.005043,0.009205,0.022746,0.022038,0.009913
1104.00,-0.031985,-0.042646,-0.014926,0.023455,-0.010662,-0.029852,-0.011471,-0.024926,-0.027720,-0.028382,-0.026249,-0.029852
1112.00,-0.094567,-0.126089,-0.044131,0.069349,-0.031522,-0.088262,0.005218,-0.054131,-0.081958,-0.103480,-0.097176,-0.088262
1120.00,-0.031737,-0.042316,-0.014811,0.023274,-0.010579,-0.029622,-0.011537,-0.024811,-0.027506,-0.028085,-0.025969,-0.029622
1128.00,0.269062,0.358749,0.125562,-0.197312,0.089687,0.251124,-0.091750,0.115562,0.233187,0.332874,0.314937,0.251124
1136.00,0.663891,0.885188,0.309816,-0.486854,0.221297,0.619632,-0.197038,0.299816,0.575372,0.806669,0.762410,0.619632
1144.00,0.748665,0.998220,0.349377,-0.549021,0.249555,0.698754,-0.219644,0.339377,0.648843,0.908398,0.858487,0.698754
1152.00,0.384367,0.512489,0.179371,-0.281869,0.128122,0.358743,-0.122498,0.169371,0.333118,0.471240,0.445616,0.358743
1160.00,-0.020056,-0.026741,-0.009359,0.014707,-0.006685,-0.018719,-0.014652,-0.019359,-0.017381,-0.014067,-0.012730,-0.018719
1168.00,-0.172261,-0.229682,-0.080389,0.126325,-0.057420,-0.160777,0.025936,-0.090389,-0.149293,-0.196714,-0.185229,-0.160777
1176.00,-0.130727,-0.174303,-0.061006,0.095867,-0.043576,-0.122012,0.014861,-0.071006,-0.113297,-0.146873,-0.138158,-0.122012
1184.00,-0.050764,-0.067685,-0.023690,0.037227,-0.016921,-0.047379,-0.006463,-0.033690,-0.043995,-0.050916,-0.047532,-0.047379
1192.00,-0.005279,-0.007038,-0.002463,0.003871,-0.001760,-0.004927,-0.018592,-0.012463,-0.004575,0.003666,0.004018,-0.004927
1200.00,0.018092,0.024123,0.008443,-0.013268,0.006031,0.016886,-0.024825,-0.001557,0.015680,0.031711,0.030505,0.016886
1208.00,0.029212,0.038949,0.013632,-0.021422,0.009737,0.027264,-0.027790,0.003632,0.025317,0.045054,0.043107,0.027264
1216.00,0.028200,0.037600,0.013160,-0.020680,0.009400,0.026320,-0.027520,0.003160,0.024440,0.043840,0.041960,0.026320
1224.00,0.032158,0.042877,0.015007,-0.023582,0.010719,0.030014,-0.028575,0.005007,0.027870,0.048590,0.046446,0.030014
1232.00,0.046715,0.062286,0.021800,-0.034258,0.015572,0.043601,-0.032457,0.011800,0.040486,0.066058,0.062943,0.043601
1240.00,0.055753,0.074337,0.026018,-0.040885,0.018584,0.052036,-0.034867,0.016018,0.048319,0.076903,0.073187,0.052036
1248.00,0.060450,0.080600,0.028210,-0.044330,0.020150,0.056420,-0.036120,0.018210,0.052390,0.082540,0.078510,0.056420
1256.00,0.076820,0.102426,0.035849,-0.056334,0.025607,0.071698,-0.040485,0.025849,0.066577,0.102184,0.097062,0.071698
1264.00,0.097801,0.130401,0.045640,-0.071721,0.032600,0.091281,-0.046080,0.035640,0.084761,0.127361,0.120841,0.091281
1272.00,0.109889,0.146518,0.051281,-0.080585,0.036630,0.102563,-0.049304,0.041281,0.095237,0.141867,0.134541,0.102563
1280.00,0.124756,0.166341,0.058219,-0.091488,0.041585,0.116439,-0.053268,0.048219,0.108122,0.159707,0.151390,0.116439
1288.00,0.150739,0.200986,0.070345,-0.110542,0.050246,0.140690,-0.060197,0.060345,0.130641,0.190887,0.180838,0.140690
1296.00,0.171895,0.229193,0.080218,-0.126056,0.057298,0.160435,-0.065839,0.070218,0.148976,0.216274,0.204814,0.160435
1304.00,0.184388,0.245850,0.086048,-0.135218,0.061463,0.172095,-0.069170,0.076048,0.159803,0.231265,0.218973,0.172095
1312.00,0.203860,0.271813,0.095135,-0.149497,0.067953,0.190269,-0.074363,0.085135,0.176678,0.254632,0.241041,0.190269
1320.00,0.226380,0.301840,0.105644,-0.166012,0.075460,0.211288,-0.080368,0.095644,0.196196,0.281656,0.266564,0.211288
1328.00,0.235836,0.314448,0.110057,-0.172946,0.078612,0.220113,-0.082890,0.100057,0.204391,0.293003,0.277281,0.220113
1336.00,0.240358,0.320478,0.112167,-0.176263,0.080119,0.224335,-0.084096,0.102167,0.208311,0.298430,0.282406,0.224335
1344.00,0.251430,0.335239,0.117334,-0.184382,0.083810,0.234668,-0.087048,0.107334,0.217906,0.311715,0.294953,0.234668
1352.00,0.255419,0.340559,0.119196,-0.187307,0.085140,0.238391,-0.088112,0.109196,0.221363,0.316503,0.299475,0.238391
1360.00,0.245253,0.327004,0.114451,-0.179852,0.081751,0.228902,-0.085401,0.104451,0.212552,0.304303,0.287953,0.228902
1368.00,0.237068,0.316091,0.110632,-0.173850,0.079023,0.221263,-0.083218,0.100632,0.205459,0.294482,0.278677,0.221263
1376.00,0.232319,0.309759,0.108415,-0.170367,0.077440,0.216831,-0.081952,0.098415,0.201343,0.288783,0.273295,0.216831
1384.00,0.215282,0.287043,0.100465,-0.157873,0.071761,0.200930,-0.077409,0.090465,0.186578,0.268338,0.253986,0.200930
1392.00,0.191801,0.255734,0.089507,-0.140654,0.063934,0.179014,-0.071147,0.079507,0.166227,0.240161,0.227374,0.179014
1400.00,0.177138,0.236184,0.082665,-0.129901,0.059046,0.165329,-0.067237,0.072665,0.153520,0.222566,0.210757,0.165329
1408.00,0.161641,0.215521,0.075432,-0.118536,0.053880,0.150865,-0.063104,0.065432,0.140089,0.203969,0.193193,0.150865
1416.00,0.135604,0.180806,0.063282,-0.099443,0.045201,0.126564,-0.056161,0.053282,0.117524,0.172725,0.163685,0.126564
1424.00,0.114156,0.152207,0.053273,-0.083714,0.038052,0.106545,-0.050441,0.043273,0.098935,0.146987,0.139376,0.106545
1432.00,0.102945,0.137260,0.048041,-0.075493,0.034315,0.096082,-0.047452,0.038041,0.089219,0.133534,0.126671,0.096082
1440.00,0.086045,0.114727,0.040154,-0.063100,0.028682,0.080309,-0.042945,0.030154,0.074572,0.113254,0.107518,0.080309
1448.00,0.064745,0.086327,0.030215,-0.047480,0.021582,0.060429,-0.037265,0.020215,0.056113,0.087694,0.083378,0.060429
1456.00,0.055109,0.073479,0.025718,-0.040413,0.018370,0.051435,-0.034696,0.015718,0.047761,0.076131,0.072457,0.051435
1464.00,0.050114,0.066819,0.023387,-0.036750,0.016705,0.046773,-0.033364,0.013387,0.043432,0.070137,0.066796,0.046773
1472.00,0.036332,0.048443,0.016955,-0.026644,0.012111,0.033910,-0.029689,0.006955,0.031488,0.053599,0.051176,0.033910
1480.00,0.025594,0.034126,0.011944,-0.018769,0.008531,0.023888,-0.026825,0.001944,0.022182,0.040713,0.039007,0.023888
1488.00,0.026511,0.035348,0.012372,-0.019442,0.008837,0.024744,-0.027070,0.002372,0.022976,0.041814,0.040046,0.024744
1496.00,0.023543,0.031390,0.010987,-0.017265,0.007848,0.021973,-0.026278,0.000987,0.020404,0.038251,0.036682,0.021973
1504.00,0.013377,0.017836,0.006243,-0.009810,0.004459,0.012485,-0.023567,-0.003757,0.011593,0.026052,0.025160,0.012485
1512.00,0.012272,0.016362,0.005727,-0.008999,0.004091,0.011454,-0.023272,-0.004273,0.010635,0.024726,0.023908,0.011454
1520.00,0.016956,0.022609,0.007913,-0.012435,0.005652,0.015826,-0.024522,-0.002087,0.014696,0.030348,0.029217,0.015826
1528.00,0.011963,0.015951,0.005583,-0.008773,0.003988,0.011165,-0.023190,-0.004417,0.010368,0.024356,0.023558,0.011165
1536.00,0.005988,0.007983,0.002794,-0.004391,0.001996,0.005588,-0.021597,-0.007206,0.005189,0.017185,0.016786,0.005588
1544.00,0.010935,0.014580,0.005103,-0.008019,0.003645,0.010206,-0.022916,-0.004897,0.009477,0.023122,0.022393,0.010206
1552.00,0.013404,0.017873,0.006255,-0.009830,0.004468,0.012511,-0.023575,-0.003745,0.011617,0.026085,0.025192,0.012511
1560.00,0.006328,0.008438,0.002953,-0.004641,0.002109,0.005906,-0.021688,-0.007047,0.005485,0.017594,0.017172,0.005906
1568.00,0.005616,0.007488,0.002621,-0.004118,0.001872,0.005242,-0.021498,-0.007379,0.004867,0.016739,0.016365,0.005242
1576.00,0.012273,0.016364,0.005727,-0.009000,0.004091,0.011454,-0.023273,-0.004273,0.010636,0.024727,0.023909,0.011454
1584.00,0.009941,0.013254,0.004639,-0.007290,0.003314,0.009278,-0.022651,-0.005361,0.008615,0.021929,0.021266,0.009278
1592.00,0.003695,0.004927,0.001725,-0.002710,0.001232,0.003449,-0.020985,-0.008275,0.003203,0.014434,0.014188,0.003449
1600.00,0.007960,0.010613,0.003715,-0.005837,0.002653,0.007429,-0.022123,-0.006285,0.006898,0.019552,0.019021,0.007429
1608.00,0.012231,0.016308,0.005708,-0.008969,0.004077,0.011416,-0.023262,-0.004292,0.010600,0.024677,0.023862,0.011416
1616.00,0.006009,0.008012,0.002804,-0.004407,0.002003,0.005608,-0.021602,-0.007196,0.005208,0.017211,0.016810,0.005608
1624.00,0.003722,0.004963,0.001737,-0.002730,0.001241,0.003474,-0.020993,-0.008263,0.003226,0.014467,0.014219,0.003474
1632.00,0.010459,0.013945,0.004881,-0.007670,0.003486,0.009762,-0.022789,-0.005119,0.009064,0.022551,0.021853,0.009762
